"","rate","LCL_x1","Med_x1","UCL_x1","LCL_x2","Med_x2","UCL_x2","LCL_x3","Med_x3","UCL_x3"
"1",0,0.8389573848115,1,1.15015034362799,0.29218952487077,0.321954547317166,0.355458502345641,0.290382624060521,0.322777135456893,0.359746503598465
"2",0.01,0.827874439838333,1,1.1505059852408,0.290026857938504,0.320043120573669,0.355405617315173,0.289583463237464,0.319864570770626,0.35373507853605
"3",0.02,0.8682391479916,1,1.18725682121053,0.294844287443292,0.326780834536473,0.359830509241323,0.293893588073236,0.324436270381515,0.354662567562798
"4",0.03,0.846666330201409,1,1.18425096845171,0.291742339172164,0.323684577253419,0.354042406790542,0.290334232075751,0.320953818078589,0.353958017031376
"5",0.04,0.851185697354159,1,1.16168473069248,0.294550096145438,0.324841507687279,0.364684627356949,0.29611422745633,0.324591944446585,0.356260914780867
"6",0.05,0.831661249793805,1,1.18000524893439,0.291115515245066,0.322526390375265,0.357949019817896,0.285884194836131,0.318470106361418,0.353698191694324
"7",0.06,0.842507478559905,1,1.17764930838874,0.290479851987289,0.322859146090694,0.358891234019663,0.290896018204296,0.318924982977426,0.353847156493847
"8",0.07,0.848304438908088,1,1.16579718193802,0.295562356842207,0.327620022527013,0.363917186677899,0.292491081339811,0.320987107621331,0.352361733340228
"9",0.08,0.842511690362622,1,1.15757137444969,0.292688001728081,0.326589369887103,0.36458612157536,0.288610442302675,0.319183656123343,0.355024542352035
"10",0.09,0.842588793127316,1,1.15706075587557,0.294684317951627,0.327444527832771,0.35924782599027,0.288495929318545,0.318644935993732,0.349675201333767
"11",0.1,0.856530670629253,1,1.17715252212283,0.300388426345745,0.331929572632396,0.37040264118075,0.294315497102985,0.321845244245254,0.352578704789743
"12",0.11,0.8463234841097,1,1.17779271710626,0.302314702272502,0.334936474677214,0.370338694522732,0.288528428628682,0.322188620041642,0.355249828949879
"13",0.12,0.851381943879281,1,1.14505091886447,0.29920958471841,0.333796439379407,0.367436322812247,0.287014196644542,0.31741070760712,0.350531026782955
"14",0.13,0.850258184202681,1,1.16776580874498,0.303951815654823,0.336325199967132,0.373180931366286,0.291932273966551,0.32145063359593,0.357339375423896
"15",0.14,0.848036881620597,1,1.15922906382076,0.30520390806599,0.337730571782699,0.378837517624971,0.287773029697995,0.320465559554162,0.352519144211284
"16",0.15,0.838937765059053,1,1.1578963143177,0.300839739210316,0.337287362122838,0.38172228801381,0.287646015474303,0.318593893026343,0.352114957233598
"17",0.16,0.857381932834647,1,1.15659406259393,0.306832618484079,0.345620764527764,0.385305908089495,0.288868942711325,0.323259838334086,0.357296195043104
"18",0.17,0.848728418874511,1,1.1296520962725,0.308464810794552,0.339829013361726,0.380318802133845,0.283743603413529,0.313131458295484,0.348523023909081
"19",0.18,0.848617488157734,1,1.16098670764582,0.306565096431649,0.344763039501639,0.396356067252239,0.286039736231871,0.316333606466623,0.350560510006103
